,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0,-0.78815234,0.51197386,1.9797393,2.5110633,0.84191406,0.019129343,1.9906597,-2.4465985,-0.0010796264,2.4122784,-0.8942964,1.0916736,-1.4390004,-1.4452668,0.60444593,-0.8930164,-2.9792328,0.025979273,-2.1641214,-0.069806956,0.19864239,1.3350083,-0.0058561265,-0.29806405,-2.9951441,-0.86723375,-4.3734746,-0.46965033,-0.41202396,-1.9340395,-2.3557231,0.26006907,1.7619969,-0.058737095,-1.4727845,-0.7218077,0.99639803,0.5027124,2.5756297,-2.5553007,-1.3753663,1.125699,0.0008480977,-0.087139964,0.114555515,1.8677915,0.0013544802,0.31890363,1.289784,-3.3081205,0.37663555,-2.5459642,-0.0213347,0.36396363,1.2849275,-2.4712617,0.69081014,-0.69943887,1.5251229,0.88499665,0.4263652,-0.21275686,-3.5771406,0.7943332,0.8288157,-0.66286755,-0.8501024,2.3138444,-1.5606394,-0.1369212,1.2135304,0.058813628,-0.15154442,0.33586237,-3.4276652,1.9869845,3.0254169,-0.5660242,-3.2071574,-3.7196407,1.6261572,0.22065173,1.3225485,0.73346245,0.09029169,-1.7040117,0.69967496,0.13179305,1.6930768,-0.0043808026,-1.8085594,1.1309507,0.4652918,0.44521064,-2.2436447,-0.11044159,1.8329922,-1.584388,-0.86978835,-3.0033672,1.3824708,-3.2077363,-1.4606279,-0.3415373,0.40361163,0.5030734,-0.10298601,0.6176557,0.0058736415,2.987706,-0.044851664,-1.4852166,0.95940346,0.45287573,2.2507381,0.9366626,0.55163264,-1.5385038,-0.9332336,-1.4956982,1.6099744,0.6653073,-1.2275949,2.0841198,0.53875166,-0.85395825,-0.005168482,-0.17399772,-2.0398915,-0.06956601,0.6260001,1.4682506,0.09292946,-2.3697298,1.0179366,0.7075943,-2.4377332,-0.67401737,0.17619875,1.276614,-0.55726206,-1.972703,2.1017032,0.23478706,-0.18304433,1.1950697,0.11234896,-0.7786919,1.6085104,1.6415749,-0.6785432,-1.4048694,-2.6748588,1.3079913,-1.6831404,-1.959579,0.004794088,-0.093705855,0.29193887,1.302811,0.88730854,-2.409445,0.8119452,0.010644897,-1.8002739,-1.4005123,1.8356948,0.36317134,-0.013594569,1.5505726,-2.17877,-1.7709653,2.0227268,0.13655376,-1.0295404,2.2617004,1.20437,0.27983928,1.0499692,-0.45894277,0.21021146,0.10506843,-1.8983349,-0.1039885,-1.8958046,0.7570518,1.7017404,1.3774155,0.35825688,-0.12592962,-0.76969576,2.379588,-0.9147078,-0.02312968,-3.1288977,-0.04450789,-0.09929609,-3.144,-0.21646567,-0.86895
1,0.48021138,-0.6402975,-1.0204695,-1.209176,0.3438234,-0.38521263,-1.2289023,1.0458934,-0.19958976,-0.6219977,-0.14187899,0.1678551,1.4329785,0.76898944,-0.8690596,-0.39662573,1.0267048,-0.7684179,0.45342186,0.1756437,0.96597797,1.1959789,-0.87485355,0.307782,1.6320848,-0.58042866,1.2218844,0.43760806,-0.42809016,-0.2178591,2.1816103,-0.69374543,-0.22480696,-0.51163375,-1.3655918,0.065485656,-0.60442007,-0.14343326,1.3328997,1.0777527,0.3550084,-0.22194122,-0.3510475,-0.66634244,0.2974853,0.7084028,-0.8595228,0.893431,1.3464564,0.09571032,-0.32868424,1.853749,-0.5591805,-1.4658089,0.44104224,1.5765843,1.5992072,1.2008376,-0.53388655,-0.8408123,-0.8515567,-1.2138733,1.3943553,0.95849687,-1.2006259,-0.24702282,-0.43325028,-2.124412,1.6796489,-0.6999682,-0.40154314,-0.20399043,2.3400447,-0.8690245,1.4561834,0.06964701,-0.30981192,0.4681313,-1.7413535,1.6429753,1.2749681,-0.7043136,-1.020031,0.56500566,-1.3160889,1.3464032,-0.047568973,-0.22345525,0.018905457,-0.64637744,2.158317,-0.14204048,1.2600945,-0.13359126,-1.1916773,-0.3337141,0.8625196,1.1916059,-0.75183934,2.060167,-0.38443854,0.98611337,-0.034907285,-0.27774057,0.9725908,0.7873056,0.2641707,1.2141114,-0.80796057,0.26261565,-0.9982882,0.19448009,0.33625516,-0.58295286,-1.3205769,0.8184788,0.8317423,-0.35603574,-0.029727386,-0.5964395,0.01738705,-1.2194458,1.0259837,0.26018873,-0.82681173,-0.7082764,-0.5089578,-0.49841222,-1.0337198,-1.241873,-0.87533456,1.3006852,0.47376758,2.207352,1.2092639,-1.2827193,2.2998617,-0.67099863,0.5360777,-1.0025493,-0.7870058,-0.83786327,-1.3200518,1.0972391,-0.9589683,0.057017088,-0.6399948,1.2577953,0.6577589,0.5108121,-1.3518676,2.2530398,-0.064343065,0.50462794,1.3405901,0.97066283,-0.96484953,-0.00079794694,-0.022982147,1.8500654,-0.6984397,0.88856167,-1.9149983,-0.30593243,1.3523458,1.3644371,0.24866591,-0.7134492,0.053583022,1.9447255,0.98548985,0.28976586,1.7588941,0.038383037,-0.49215692,-0.9404715,-0.2642625,0.0015191417,2.6274326,-0.2406913,1.507657,-0.4954506,0.24034402,-0.17775728,2.5999029,-0.26168552,-0.66981584,0.65074176,1.6830405,-0.8665362,-1.097577,-0.3710465,0.7607447,-0.11241624,0.799452,-0.26365948,-0.81902915,1.244557,-0.6137353,-0.67913806
2,2.6143453,2.127029,-2.4686098,-2.0616004,-0.04882684,0.3034421,-0.8128344,3.3049793,-1.9604564,-3.3860734,-0.6839792,-1.2123309,5.072339,2.067446,0.6787141,1.2532316,0.8410431,-0.79452115,2.2475355,1.6395655,1.6301672,0.43841276,-0.07663509,3.939999,2.1972454,-1.0667244,2.4370263,0.18186231,-0.8785269,0.5912849,3.4005697,0.37189424,0.19065309,-1.4701945,-0.039090455,2.7399046,-0.65983087,-0.6030289,0.11432707,4.0415983,-0.5537148,0.04239296,-0.1238121,-0.41268566,0.14122364,0.17637706,0.11682508,1.7228729,1.3769214,-0.80587065,-1.0429993,2.3727627,0.451718,-1.8742236,1.4223862,3.5726473,3.2859533,-1.1356193,-0.039500415,-2.0598152,-1.2775061,0.1444731,4.937594,1.8205074,-0.7501128,0.12756294,0.3438461,-2.325697,1.3432295,1.2183787,0.75221443,-0.9289739,4.4492965,-1.7393113,4.5255303,-2.2651293,-2.025876,-1.1949497,0.1685865,2.0324814,1.3728731,-1.096985,-1.5372666,-2.3391702,-0.48709482,1.4663169,3.471013,0.34706706,-1.3722436,-1.3032355,1.4035901,0.20063518,0.85087883,-1.1708717,2.498067,0.0060249995,0.33238354,1.8137975,-1.6259875,3.5542605,1.9673778,-0.0035548229,-0.34191018,-2.1308658,1.9504932,1.0450077,0.036986712,0.22075838,-0.7618551,-1.8042287,0.6170479,-0.83400345,1.4267159,-1.7352008,-2.2532837,1.4106067,0.79217017,3.2293339,-1.231794,0.1766,-1.070866,-3.9565356,0.0041263294,0.0844638,0.86034095,1.0221403,-1.5411402,-2.128798,-0.3889182,0.7460998,-0.76160634,1.8419181,1.640183,5.65772,1.2171369,0.06570096,3.2903793,-0.53439456,0.71766496,-3.0160294,-0.48631525,1.0521781,-1.649552,-0.118387185,1.0435909,-2.0557477,0.5053965,0.33659387,-0.7004191,-0.73617035,-1.376692,2.0012815,0.7086981,-2.2844353,3.6302736,0.49600637,0.19989939,-1.034084,0.07752126,1.1599832,0.7166216,2.9625616,-2.088691,-0.6658773,3.7737012,0.6061638,0.45848113,-1.7400659,-1.9245299,2.2095065,1.6416758,1.4873631,3.9740298,0.34606445,-0.010962451,-2.1422338,-0.21388867,0.6165579,2.1473145,-1.5957949,2.5617797,-2.052966,2.205471,-0.6708137,2.1426816,-0.3949651,-0.521413,2.3004637,1.626918,-1.4103316,-0.90215605,-1.7304999,-0.13736127,-0.4774661,3.3026729,-0.2335009,-2.7351632,2.5036166,0.21367793,-0.9118701
3,0.9570854,0.18367541,-1.4353695,-0.020171134,0.60752857,-1.0711387,-1.1942934,-0.1265659,0.12925752,-1.0629487,0.111040615,0.43001407,2.0217218,0.94057167,-1.1407099,-0.37718794,0.682387,-1.0811114,0.94689476,1.1028553,-0.48085108,1.091594,-0.3002021,0.9940422,1.2024008,0.18558165,0.9895631,0.8818864,-0.07272208,-0.17498328,2.7454607,-0.17747252,0.22881854,0.108833395,-0.8704652,0.4227067,-0.59836966,-0.05783415,1.668946,1.034908,-0.16480128,-0.30690715,-1.7393978,0.0529858,0.66650456,0.35066676,-0.5478206,0.7889887,0.53735006,0.49373236,-0.032661457,2.126734,-1.1267605,-1.2158021,-0.00862418,0.6788138,2.1507163,1.2894454,-0.29553598,-0.61819,-0.51324964,-0.1618999,1.7807257,0.45226228,-0.8185692,-0.042369604,0.1799665,-2.1072834,1.05135,-0.7403287,-0.5790952,-1.6306777,2.014818,-1.6739345,0.83262414,-0.70039487,-0.6412996,1.0465182,-0.8764323,1.681219,0.91223884,-0.74515474,-1.1899297,0.83228725,-1.4292451,2.0390596,-1.1398654,-0.48958752,-0.8124907,-0.5308793,0.71001387,0.42667398,1.2210892,0.560149,-1.2753668,0.09985319,1.2786864,1.0650661,0.36780822,2.1926043,-0.83501494,0.99296147,0.84308946,0.21410686,0.6411495,-0.21051984,-0.9027983,0.32731587,-0.6599343,0.8344881,-1.5025716,0.316165,-0.2910223,-0.43797457,0.15617792,0.6571044,0.2002812,-0.42495754,0.15265836,-1.2080137,-0.33453313,-0.055409864,0.26201168,1.0767099,-1.1930085,-0.027545601,-1.1276278,-0.20910646,-0.09707952,-1.3623961,0.1579122,1.7807242,1.2231499,1.3186494,0.9863796,-1.2780809,0.7822189,0.43804494,-0.8989082,-0.29679322,-0.5294637,-0.17963427,-1.2043672,1.0348877,-0.22665876,-0.32713896,0.2703918,-0.36455435,0.7621766,-0.23355688,-0.2724551,1.9649097,-1.3496754,0.38725498,0.84178257,-0.063301764,-0.52925706,0.48591554,-1.1917683,1.4058994,-0.15509945,-0.52074295,-0.43923423,-0.004797028,0.3619323,1.822398,-0.054723922,-0.90332466,1.0577404,1.1888314,0.07034818,-0.043303527,0.9478174,-0.4479783,-0.5133121,-1.6901811,-0.7914412,-1.1041673,2.267699,0.6642219,2.4685364,0.37068948,0.1560116,0.50081843,0.80330765,-0.06713624,-0.54149556,-0.020211454,0.90285003,-0.2500482,-0.537018,-0.20463185,0.7345306,-0.7189279,1.9457321,-0.665461,-1.3048247,-0.06798504,-0.5080369,-1.2717692
4,-0.68397814,0.19838585,0.5209791,-0.47113785,-0.23490249,-1.2710404,-0.6920294,-0.6986322,0.33637786,0.8868938,0.4305486,0.83956057,-1.058315,-0.5540819,0.2759275,-0.5080869,1.5653399,-0.4808124,-0.67722416,-0.62226963,-1.0408952,0.18813056,0.9250492,-0.06638651,0.2755305,-0.39245343,2.6964443,-0.6438668,1.014743,1.2553692,0.00062239636,0.5129985,0.37411717,1.3238326,1.455538,0.5851888,0.5479181,0.6688623,1.3765175,-0.2789312,-0.27019843,-0.58554065,0.3650022,1.1442192,-0.9061687,-0.14909065,-1.0536691,-0.104145296,0.038269665,0.6536886,0.47622985,-1.0805169,0.8281219,0.34120712,-0.17461811,0.07663347,0.19101006,0.7152301,-0.4305494,1.5957867,0.121020675,-0.051219992,0.9213168,0.25187385,-1.2222261,0.07246684,0.72673523,-0.0021580989,0.16136959,0.082085036,-0.74709547,-0.08117203,-0.55013597,0.4081041,-0.30077142,-0.12871498,-0.8938664,0.35737422,0.9326051,0.77672094,-0.44638076,0.601512,1.2611268,-0.18759832,-0.16225609,0.8687251,-0.9210051,-0.2690333,0.33928242,1.1962944,-0.43914524,0.4429562,-0.23480693,1.3597081,0.3338465,-0.5019841,-0.2051158,-0.62739736,0.88211083,0.6287794,1.3464603,1.1111125,1.1861328,-0.83200413,-0.99744123,-0.50702417,0.70221996,-0.15441951,0.10718842,-0.14987992,1.3000748,1.1907976,0.11898394,0.1398787,-0.34076443,-1.019886,-2.180554,0.47148094,1.0275955,0.21563487,0.6754862,-0.1825183,-0.38827932,0.9389721,-0.7404394,0.36529103,0.18575947,-0.110664055,0.9857224,0.9156517,-0.7575818,-1.5727061,0.3989503,-1.3856226,-0.8492336,1.6029433,0.07635978,0.87841487,-0.03437926,-0.86510795,-0.27670553,-0.62975186,-0.087814175,-0.5120949,0.9045465,0.013582114,1.1459813,-0.10844584,0.4728091,-0.77658737,0.46643367,-0.20957722,0.6942468,-0.42830962,0.40789917,-0.42593312,0.7082053,-0.06362371,0.18998253,-1.2192904,-1.1451995,-0.21959178,0.3246848,1.0583086,-0.0075767133,-0.44179595,-0.64177823,0.43272233,-0.07725821,-1.5553784,-0.61445713,1.7013339,-1.5359005,-0.51517564,0.58817977,-0.60308963,-0.020778298,0.12124382,-0.537651,1.580071,0.76015085,0.61121774,0.00095001655,0.6931738,-0.932437,0.44961345,-0.03387287,-0.3574475,-1.0482143,1.4960899,0.40119913,-0.5998087,-0.54198676,-0.6430708,1.2555795,0.8987666,0.12833218,0.61009353,-1.0540822,-0.37756068
5,-0.01820348,-0.7307238,-2.4087393,1.4511256,-1.7543457,0.5831025,0.6954269,-1.89786,-1.4794432,-0.035174742,2.2045715,-2.4342792,4.1661606,1.6037182,2.7073765,-0.27591237,-1.9000676,2.703468,-1.0350099,-0.04707964,0.18662016,0.08532416,1.261192,2.3812728,-1.8965818,0.5216343,-1.6385828,0.5962456,-1.0363681,-0.3090797,0.17701341,1.9913799,-2.2080064,0.13137242,1.3369246,2.0478349,2.1063998,-0.019560006,-2.5707123,-1.187633,0.14081821,-0.043559417,1.6042013,-1.3739691,-0.517606,-0.160242,2.9903738,-0.4419988,-1.0391449,-0.050809897,-3.7822149,0.8407096,-0.102853715,0.65715694,-2.9558458,-1.7613854,0.24518815,-1.1085609,1.4623992,-0.8128323,-0.07049235,0.2536886,-0.9906552,-0.9929782,0.8349558,-0.09422819,0.3121454,0.023810938,-0.15243676,-1.4294184,1.786236,2.007092,0.82623875,2.6766117,-0.04093956,-1.3726999,-3.4774241,0.012891522,0.018793195,-0.00955713,-0.88515544,1.2666501,-0.0048873625,-1.9015564,0.5470584,-1.0098368,3.9664996,-1.0557394,-1.7274696,1.867521,-0.8018058,2.5909374,-0.045979172,-1.6224085,1.5478991,-0.27700838,-1.4581007,-2.9064305,0.10884536,-1.5614148,1.7798613,1.9692895,0.31208217,-0.21211453,1.8987615,-4.5756454,-2.9200559,-0.017041875,-1.0741876,0.17136493,1.3258098,-0.5653181,0.0015467061,0.60580134,-0.15105985,2.7710745,0.18088903,0.2930702,1.0632502,-0.8384416,1.4943382,-0.6004322,0.10132419,0.5591413,1.9416008,0.31282395,0.82816005,-1.6722355,1.1708324,1.8453763,-0.25869033,0.46012664,2.5047889,1.6657543,0.7185712,-0.28806737,0.6078527,-3.4139614,-2.7012248,-0.35856506,3.2181349,1.8241177,0.316782,0.8312867,-0.5599701,-0.13311316,-0.015186768,-0.9645555,1.0440605,0.99151945,2.1703815,-0.708168,-0.50177276,2.5925543,2.4799447,0.6555558,-1.9097779,-0.06737585,-1.8779644,0.91621274,0.74323696,0.18361108,-0.986049,0.6992906,-0.28104028,1.0807253,0.35152325,0.22803356,0.08711447,0.3237164,1.5258931,-3.3420808,-2.4036207,1.6186771,-0.49582264,-1.3973061,0.010791289,0.5127085,1.871415,-1.6416485,0.7898575,-1.9199241,-1.9290262,-0.17981716,0.101531364,-1.1505734,-0.7507595,-2.5530758,-1.8281524,-2.531236,-1.9476492,1.8270724,-2.437297,-1.3753582,1.1673703,-2.6886377,1.3693403,-1.6277351,-0.06174968,-0.54756385
6,0.54025805,-0.30246535,-0.5741558,-0.6986737,0.31163016,-0.2086532,-1.7849264,0.2281983,-0.3261207,-0.28032178,0.56662065,0.019756297,0.981494,-0.035058033,-0.71775585,-0.6403125,0.8246938,-0.2117489,0.75915396,0.0566371,0.56727195,0.8084283,-0.3224836,-0.25338504,1.0787685,-0.31310725,1.6469096,0.09457142,0.19611558,0.35721198,1.7332091,-0.3537938,-0.00018590363,0.3345694,-0.892923,-0.5838293,-0.68110275,0.0001389673,1.4394075,0.25903454,0.14261882,-0.4342147,-0.17381659,0.2588367,0.63784605,0.12661564,-1.2924043,0.48492056,0.5347092,0.11802168,0.2103945,0.46753234,-0.08516671,-0.6074782,-0.0017056307,1.0220927,1.3127738,1.1233636,-0.61955726,-0.6100653,0.037845388,-0.66143376,0.6358277,0.5730338,-1.5458304,-0.25424695,0.15447275,-0.9309057,1.2305541,-0.55441964,-0.614019,0.28216547,1.1675797,-0.4947328,0.93521684,-0.2008648,-0.25472006,0.5222337,-0.69791967,1.1670105,0.7868891,-0.30642408,-0.3594597,0.30349606,-1.2556795,1.581672,-0.0055473046,-0.7531488,-0.1344865,-0.6781537,1.6005714,-0.28447503,0.8378679,0.34580526,-1.1385819,-0.3425121,0.48271236,0.42574802,0.009889962,2.0988648,-0.25628856,1.1705098,0.3762899,-0.4017465,0.8116469,0.6096123,0.91070116,1.1210346,-0.12873434,0.40403455,-0.9494581,0.5919602,0.44083205,-0.3370921,-0.5589503,-0.24083671,0.26803866,-0.6370781,0.33316112,-0.31815264,-0.26161242,-0.3067114,0.99110556,0.13392982,-1.0894451,0.16536662,-0.52248466,-0.67677814,-0.57975835,-1.0562869,-0.44941023,0.38073832,0.6910805,1.265993,0.36169976,-0.3142872,1.2653714,0.45755768,-0.22903772,-0.26263365,-0.89173484,-1.0105426,-1.7035737,0.58855873,-0.330862,-0.25608295,-0.18432914,0.32365763,0.7004093,0.1277439,-0.538388,1.6167641,0.8633598,0.8239875,1.0784736,0.22959529,-0.2402983,0.3599362,0.2222487,1.0593431,-0.9607021,0.09970013,-1.0922757,-0.15812352,0.22326507,1.4252881,-0.037084486,-0.24081533,0.18632513,1.5636079,-0.051995687,0.6507214,0.82331145,-0.47999853,0.06985815,-0.15099575,-0.014868204,0.6401157,1.8412362,-0.26752305,1.49243,0.007770594,-0.69073844,0.36060062,1.1417621,-0.37827513,-0.35356072,-0.029542863,1.0520843,-0.72420603,-1.0160508,-0.4637622,0.61009735,-0.33910704,1.2525705,-1.4286841,-0.079503626,1.3726741,-0.9249901,-0.42386073
7,-0.88432455,-2.1239421,-0.5005493,1.2136638,0.9617214,1.0983238,2.6312792,1.3410721,1.3646388,1.9646792,-0.7951519,1.2616186,-1.5159924,2.658658,0.7548815,4.1623797,-0.2633534,-0.24668103,-1.5256499,-2.0071907,0.5713784,-0.32262844,0.85479385,1.5716245,-1.0497115,0.7362736,-2.2715828,-1.7768059,0.5388379,-0.41448689,-2.0246353,1.529021,0.40659708,-1.811387,0.7605303,3.7770727,2.7165194,0.67939234,-3.5121472,-0.77376735,-2.1106043,-1.4075569,1.5837975,-3.0032244,-2.3926365,0.6027022,1.1181141,-2.086933,-2.1333044,1.0124528,-1.1687129,0.6002377,-0.023238227,1.376528,0.04807482,0.8323569,-3.097846,-3.198877,1.4080603,0.6180452,-1.2587274,-0.22300716,-1.2443941,0.38311592,3.7954483,-0.7170261,-0.639704,1.2633772,-1.6731603,0.34253466,-0.57444435,0.5244481,-1.2717152,-0.7605245,-2.5950873,0.96784925,1.3439116,0.96862215,-1.8901095,-2.7613943,-0.6197586,1.4076086,1.9415058,-1.5291901,2.3756757,-2.9422724,-2.0255036,4.562286,2.0046349,-1.7244135,-3.6805644,0.6259707,-0.7917768,-0.7577035,2.1338816,-0.46733227,1.580838,0.7092654,0.11956069,-2.7804382,1.1373801,-2.2257998,1.4745932,0.61413604,-2.4460092,0.20473133,1.4141529,-2.1822035,0.7106197,-0.4623134,1.3822526,0.51452315,-3.1447845,0.3236739,-2.1084416,0.7635925,-0.6231969,1.2144102,0.82993895,0.6816981,3.1395655,-0.6518907,-2.2488103,1.7621961,1.9609983,-0.537634,0.16060759,0.6709631,0.8524514,0.48298243,0.31226572,-0.157964,-1.352523,-2.7071364,0.8310416,0.89493877,0.48579895,-1.5505687,-0.20066063,-2.543584,3.7522337,2.477911,3.3157165,-2.3728495,1.7640022,-2.451291,-0.07323241,-0.51113725,-1.3208791,-0.6745581,-0.8801772,-3.2194455,-1.3356023,-0.7594516,0.38907188,-0.22572197,0.20551322,-1.1217492,-1.5250673,-0.36685723,1.4068048,-2.0753276,1.0117449,-1.8271219,-0.91020507,-1.5425034,1.3275939,2.8278728,-1.8551992,-3.5549154,0.51492274,-0.07819997,0.7548311,0.8940651,0.7944907,-2.5323277,-1.6825138,-1.6228299,-2.3857634,2.0294104,-2.574813,0.20309871,1.9419366,0.066533655,-0.6932501,-0.14059031,0.5517997,1.1712219,-0.9924586,2.7978685,0.4780157,0.2479374,2.2316139,2.5119243,-0.7448174,1.462526,-2.5440824,-2.0807915,2.2138114,-0.15405193
8,0.29003102,0.94417447,-1.4139702,0.24498115,-1.1726725,-0.58752805,0.6368197,0.9464082,-0.13593732,-0.12662765,0.16884743,0.016913636,-0.13508542,0.3466803,0.53124493,-0.6337,1.2515593,0.5611159,0.68558264,1.101032,0.345292,0.9933818,-0.6065174,-0.119351745,1.6618398,-0.60242945,1.2817218,0.0068425722,0.6883878,-0.9971936,1.7287816,-0.045974612,-0.80221444,0.07675409,-0.121378645,-0.611867,0.9707908,-0.41250813,-0.84288585,-0.3543135,-0.47778934,-1.095877,-0.4101248,0.32106373,0.78911895,0.252115,-0.2033768,-0.44720393,0.43962833,-0.04038797,0.13709302,-0.2457822,-0.26320517,-0.37844136,-0.7109543,0.3688139,-0.12660037,1.3783616,-1.0285245,-0.3466177,-1.8343915,-0.07612395,1.1372076,0.5439219,-1.3671336,-0.08810256,0.32077318,0.7217424,0.12850475,-0.7940024,1.0193655,-1.0198387,0.8837059,-0.19219404,0.53392196,0.7301368,-0.49467874,0.85119534,-0.48350218,1.3565758,0.65488327,0.4293416,-0.023481742,-0.021045566,-0.50134426,1.1570034,0.03075441,-0.1946111,0.87772,-0.8461557,0.7638016,0.3671305,0.620529,0.76855713,-0.17603163,0.41445115,0.803868,0.5143968,-0.4594022,1.0521432,-1.166574,1.0611464,-0.28611133,-0.8843596,0.7110792,1.7200412,-0.1275145,-0.15359037,0.5473724,-0.077359915,0.092547074,0.33167595,0.68150675,-0.23033617,-0.45715848,-0.43658388,0.3587647,-0.5270465,1.374409,-0.74501956,-0.09533909,-1.09837,0.7493523,0.34266675,-0.28671125,-0.63807476,-0.8313261,0.04924501,-1.054078,0.120784804,-0.407833,0.3509546,0.56358206,1.0063653,0.15019868,-0.2206715,1.3103365,0.14243077,0.133433,-0.49438018,-0.39628157,-0.42450166,0.05395314,-0.2563573,-0.35902447,-0.33550763,-0.16013314,0.7258884,-0.54528433,-0.51510626,-0.34888637,-0.50125575,0.8241209,0.34548506,0.6126685,1.1921686,-0.3257134,-0.21160518,0.276628,1.017457,-0.3543875,1.1354556,-0.7574142,0.46847916,-0.09435515,0.18305281,-0.08638045,-0.5939604,0.56547344,0.24381523,0.6150125,0.44383797,1.0980068,-0.55429524,-0.7534133,0.6730554,0.13434625,-0.2303479,1.5289768,0.24154867,1.2580304,0.0034454027,0.38269264,-0.8376724,1.9664187,-0.13148482,-0.12828009,-0.3387084,-0.7623876,-0.52647704,0.20858389,-0.82952446,0.4502005,-1.1829454,2.0731091,-0.42467135,0.5417438,1.0186927,-1.7173898,0.3879435
9,-0.1592145,-0.4598988,0.70319796,0.6644167,-0.38427666,-0.4497026,-1.2099878,-1.0982673,-0.15584448,0.28610078,0.70452255,0.10328528,-0.1324828,-0.75192577,-0.42702147,-1.2051165,0.22145863,0.14308152,0.102794334,-0.23328397,-0.028449673,-0.84976065,-0.008652278,-0.718584,0.2579725,-0.14200647,0.8364157,0.38990027,-0.102265574,0.48334044,0.43309695,-0.40106082,0.16124114,0.53708106,7.976964e-05,-1.1923778,-0.36551526,0.68357927,1.1449261,-0.5390386,0.9843421,0.24821655,-0.10031155,1.2399653,0.5907586,-0.5166856,-0.8206272,-0.3319193,-1.2294307,0.3727118,1.0553691,-0.16850528,0.5546921,-0.6247444,-0.2886107,0.08716275,0.33877516,0.65055656,0.019976674,0.23447433,0.89143115,-0.5155663,-0.9015894,0.04406448,-0.6624558,0.18470283,-0.5267518,1.1489569,0.19468653,-0.36129034,-1.0636003,1.0251294,-1.1077096,0.42313477,-0.54481167,-0.559576,0.17267531,0.91722083,0.079883344,0.091422126,-0.23137985,-0.077467695,0.38269532,0.4451305,-0.9049909,0.04176829,-0.42424658,-1.19242,-0.7466209,1.003014,1.1379908,-0.61346704,0.2049457,1.2765177,-0.9494634,-0.17345951,0.077181295,-1.5396559,0.51640075,0.94870955,-0.21672554,0.3039242,-0.022996057,0.19313475,0.23146464,-0.31362748,0.46906373,1.1573025,-0.4876514,0.6766679,-0.38222882,0.47160313,0.6695887,0.787806,1.4406614,-1.5778282,-0.9049842,-1.2257054,0.49453384,-0.073398404,-0.38563275,1.6110085,0.4491439,-0.61457634,-0.4110317,0.8053074,0.2687655,-0.28452545,0.53794336,-0.20196338,-0.02395518,-1.24797,0.09895861,-0.2693681,-0.3948375,0.13718984,-0.8703712,0.5397814,-0.86663264,1.37696,-1.183714,-0.4019683,-0.9095053,-0.4686779,0.581916,1.1274294,-0.19923614,-0.37874854,0.26667604,0.7875003,0.6693048,0.06728891,1.5380045,1.4460444,0.06506174,-0.37914872,-0.045059912,0.6999945,0.91552943,-0.2985791,-0.8163698,-0.905699,0.33092812,1.0456423,-1.0283355,1.1870328,-0.6703509,0.58023727,1.368988,-0.46527258,-0.86473566,0.017086914,-1.5237639,-0.639933,0.43999237,1.0495615,0.6472516,0.9881704,0.38289484,-0.10354946,0.74917585,0.5200878,-1.2272336,0.5419244,-0.8108917,-0.18102539,-0.58855486,-1.0775793,-0.37224022,-0.6606396,0.20652996,0.99226826,-0.41596538,-0.42336163,0.12505516,-0.5879283,0.6757203,-0.08418045,-0.55966854,1.3151091
